cat,coast_length,L,area,slope_average,pop_sum,delta_x,DEM_average,DEM_maximum,litho_median,Dtot_average,D1_average,D1_stddev,S1_n_average,S1_n_stddev,S1_alpha_average,S1_alpha_stddev,S1_k_average,S1_k_stddev,S2_n_average,S2_n_stddev,S2_alpha_average,S2_alpha_stddev,S2_k_average,S2_k_stddev,S3_log_perm_avg,S3_log_perm_std,S3_porosity_average,S1_WCsat_average,S1_WCsat_stddev,S1_WCres_average,S1_WCres_stddev,S2_WCsat_average,S2_WCsat_stddev,S2_WCres_average,S2_WCres_stddev,Dtot_stddev
82,46.067739,10113,155.051573,6.781066653,30554.04861,13238.686,54.13943493,261,100,18.27322404,332.9880478,155.2925393,12716.34426,136.2992391,86.53005464,21.22808541,38936.99454,43326.08282,16544.55191,326.4790745,787.1311475,90.55532537,13945.62295,15594.73353,-12.16363935,1.635458472,0.261929028,5344.994536,238.1126265,410,0,5058.912568,238.1637931,1058.52459,688.7523433,10.36501545
83,21.916278,7588,71.96923,13.27135183,21716.51028,7573.757,171.9144224,454,10,1.55952381,311.8103448,161.3926415,12886.52439,168.0814426,99.81707317,25.44009129,37437.9878,9827.660952,16777.39024,245.5249605,824.0731707,81.09882266,13384.5,3582.639316,-12.34696827,1.68493537,0.213518214,5492.353659,185.6344015,410,0,5206.5,185.965985,1116.829268,689.7947345,1.050523571
84,30.813839,2023,37.916227,3.2255648,40285.76278,2171.971,15.54911181,112,1,33.62790698,214.3333333,254.0496452,13113.27907,119.874804,161.7674419,34.81368163,78161.09302,14189.93337,16340.74419,220.6432555,819.4418605,55.84875853,27472.53488,5034.975436,-13.89347387,1.799327203,0.146496972,5078.651163,205.8231216,410,0,4793.511628,205.5591775,1116.046512,689.8133874,11.87144954
85,54.650678,13463,178.327384,5.003173112,502650.7501,13425.565,31.58383761,345,1,34.71291866,355.3003534,176.4695939,13091.41148,135.064199,168.6698565,30.57144899,72146.52632,28308.85304,16281.79426,258.6938683,837.7177033,51.6077562,25432.27751,10028.31655,-13.51064335,1.8,0.130425734,4999.464115,195.3307339,410,0,4714.124402,195.3072511,1228.755981,677.8804448,19.35895811
86,16.847568,11112,29.393028,3.677780592,43544.1139,11230.072,12.73589316,46,1,42.44117647,300.4166667,157.8891797,12942.70588,265.1231156,133.5588235,43.57629629,55739.82353,12108.53315,16318.5,290.5436335,785.8235294,119.9030173,19681.91176,4341.41208,-13.73371758,1.8,0.139348703,5142.588235,218.849951,410,0,4857.088235,218.963248,937.6470588,670.6277078,9.143275177
87,16.862998,8257,73.108461,2.888837619,116872.6311,31116,13.1182233,195,1,50.21176471,331.512605,145.905683,12948.70588,105.6814106,186.2941176,24.1562675,148343.2118,20901.83672,15597.58824,182.7578465,728.9529412,41.48476854,52268.96471,7255.219693,-14,1.8,0.15,4493.882353,143.2663018,410,0,4208.611765,143.1305528,1091.882353,689.9522475,24.14616965
88,26.83394,11993,66.143278,8.702604318,100782.2008,12096.314,90.76798454,493,1,31.30769231,264.0740741,142.9972613,12896.88462,160.3740004,171.1025641,40.87177879,122420.7564,45299.7627,15613.28205,289.7652851,716.474359,45.28704019,43540.33333,16080.81506,-13.34176429,1.716245589,0.218033874,4530.705128,279.6933352,410,0,4244.948718,279.7734384,1223.846154,678.7946156,49.67569382
89,98.016767,14368,245.599326,15.9765221,21321.74129,17479.876,222.7195141,954,10,7.178321678,254.8635236,123.8251739,12899.25614,166.4758378,137.8070175,32.15229036,66487.51579,33296.79443,16112.47018,344.0008823,769.3052632,70.29987003,31675.3193,144613.4201,-12.66810262,1.772162082,0.128088159,4944.929825,263.4211663,408.5614035,24.243659,4667.242105,286.5142248,1202.666667,684.2036563,36.47577535
90,41.500977,13815,111.940593,10.9143433,39236.83957,14225.776,74.03210568,607,10,11.8828125,253.715847,84.07884746,12792.86719,154.8219426,130.734375,24.9720107,68824.125,20906.01302,15985.53906,299.589091,767.671875,53.26776543,24373.3125,7360.590101,-12.91147348,1.762043222,0.149223576,4835.679688,242.0430273,410,0,4550.070313,241.9150866,1110.78125,689.9157663,44.55151882
91,160.639415,48145,671.573429,9.236963018,172190.7658,48413.967,112.3743732,378,100,14.38209332,215.2289377,81.13234093,12747.62421,194.5199932,123.3846154,35.59148368,85726.08071,40101.41847,15910.02396,249.3528637,732.334174,65.32277453,30439.95082,14205.6905,-12.55419949,1.620907357,0.29394569,4819.674653,197.3597929,410,0,4534.056747,197.32971,1121.752837,689.6570264,54.82413964
92,12.066273,10238,50.192866,4.309664377,41029.1407,11368.326,21.98794243,88,1,6.423728814,218.5882353,101.287627,13231.62069,151.7095487,221.4827586,40.24075879,177370.5172,106390.847,16006.67241,217.0856646,798.3965517,50.52139856,62599.63793,37425.61935,-14,1.8,0.15,4787.293103,143.1700229,410,0,4501.655172,143.1269694,1004.827586,683.4048666,14.67293529
93,8.225936,8110,33.218471,4.610432058,26962.20679,8552.351,30.99616632,192,1,1.125,187.6363636,99.12276385,13229.875,152.0131882,220.25,26.63526797,182350.975,71778.15643,16002.05,214.0317675,803.025,45.2749862,65001.15,25893.25062,-14,1.8,0.15,4768.7,167.3396546,410,0,4482.525,167.3417144,1272.5,668.0896272,0.45757513
94,5.326761,19464,56.847598,6.035476696,65128.6288,20465,120.3946235,349,1,1.808823529,229.2134831,49.72338584,13718.52941,374.6198257,268.1617647,48.45938575,204711.1029,44838.68961,16620.16176,479.3516949,902.4558824,98.06321998,74599.72059,17192.11536,-14,1.8,0.15,5169.602941,290.1798702,410,0,4883.132353,289.7563329,1201.470588,682.4981463,0.600425167
95,4.927127,9734,23.6974,4.288927686,27284.88304,10252,39.41656366,127,1,1.482758621,212.1052632,101.0772996,13358.58621,331.1364462,237.1034483,42.85609024,209511.8621,58227.55382,16121.17241,399.9098234,822.5862069,79.94546298,75240.34483,21350.74976,-14,1.8,0.15,4836.862069,250.1794837,410,0,4550.655172,249.7161528,1266.551724,669.5972843,0.622602417
96,40.819778,21197,533.667929,8.975085211,334074.2866,20586,476.0921123,2775,1,1.2784,285.5862069,123.4981085,13814.5312,427.5074467,275.6544,45.64824378,229110.7728,75165.0743,16606.6368,728.9714952,870.7024,101.8750344,83820.416,27447.45485,-13.97886788,1.8,0.149154715,5179.0016,527.8083395,410,0,4891.7952,527.194989,1189.424,684.1807862,2.248397972
97,40.686533,7582,104.346742,5.713261072,36743.52048,4140,29.91242805,104,10,16.49557522,305.3846154,169.4753477,12986.85841,126.0426861,159.079646,29.89573077,57048.88496,51238.65355,16097.0885,270.5128383,795.1946903,57.84077296,20203.20354,18071.19973,-12.91296342,1.8,0.106518537,4886.513274,231.8705053,410,0,4601.123894,231.9184756,1154.955752,687.8080149,15.13837291
98,7.349217,3132,12.16616,5.173269707,15331.32555,3161,38.86400651,92,10,8.357142857,368.4210526,137.8505353,13053,76.26551364,164.5714286,22.4776533,41649.42857,5949.196185,16190.85714,170.3986323,803.1428571,39.63378275,14492.5,1997.22875,-12.5,1.8,0.09,4979.214286,136.4881882,410,0,4694,136.3744844,1395.714286,623.420453,4.41761317
99,11.76161,15913,82.171542,9.996927313,14164.39421,15930,252,556,10,2.989795918,432.1969697,154.4948484,13145.33673,136.315057,152.1938776,27.74764493,32993.41837,8270.608221,16743.92857,295.6851694,898.3061224,70.02818793,11837.22449,2934.837994,-12.56980352,1.8,0.092792141,5324.867347,198.5198616,410,0,5038.714286,198.4076406,1170.408163,686.3983468,3.712897812
100,43.175593,10112,195.550529,8.78755381,150514.5914,12825.766,102.9190031,757,10,17.14224138,307.9742765,119.6729707,12897.77922,270.4916939,169.8614719,36.84562196,117286.5671,41388.76077,15717.71861,411.3050222,751.6060606,71.22044163,41481.52814,14774.68606,-12.71364398,1.705228355,0.205321813,4580.212121,306.4270469,410,0,4294.731602,306.6413176,1282.207792,665.507566,18.99390851
101,16.356135,11693,77.995753,4.503134107,43957.55841,15440.629,35.0768167,152,10,20.97849462,386.6141732,73.9782951,12920.08602,279.4098872,191.2795699,42.83033936,149224.5591,38365.88887,15588.88172,201.9078279,749.9139785,51.99103643,52825.09677,13654.60227,-12.51937133,1.742505982,0.155551447,4442.258065,112.3402956,410,0,4156.827957,112.5105131,1166.774194,686.7613902,10.71927065
104,50.872138,12672,137.46639,2.341981637,1531958.144,13092.215,8.392956839,39,1,72.0308642,253.59447,278.6950856,13081.14194,307.4705428,235.316129,49.12022839,217818.6387,125515.74,15494.54194,636.8443699,733.2580645,76.54615632,79508.5871,46904.36626,-13.80771799,1.8,0.142308719,4444.167742,122.6496621,402.0645161,56.48518817,4167.496774,156.1451093,1158.83871,697.7410138,64.75637371
106,57.597224,8423,381.803482,3.374176142,314994.0179,17205.051,23.12816232,173,10,48.71208791,340.8899676,146.1845407,13006.53659,246.6724542,206.1219512,38.74741369,161352.9823,50801.44183,15614.40133,572.5659217,747.443459,73.42412872,62250.58758,58268.24184,-12.58524932,1.742415214,0.158288831,4536.662971,112.0658142,402.7272727,54.11954933,4266.361419,175.0172756,1118.736142,699.1188302,77.11685558
107,58.366316,9337,139.322627,2.55097641,250489.7088,21747.603,10.53922675,114,1,92.07272727,231.1261261,271.674972,13063.40146,365.6058158,239.540146,61.89784551,242986.4234,145057.2683,15477.0365,822.6998939,728.8686131,90.03817662,92008.12409,72975.33612,-13.55326608,1.8,0.132130643,4491.40146,166.5872324,395.0364964,76.88387383,4226.605839,219.506725,1190.80292,703.306122,93.04235358
108,34.104841,7505,118.562971,3.465709756,114176.1348,7625.003,31.19464922,160,10,23.22695035,342.4870466,147.1949505,12974.28369,128.5585843,199.0851064,25.8326555,167612.7943,35134.53984,15613.88652,144.794552,752.4184397,39.79328787,59029.09929,12208.85179,-12.65487315,1.693428408,0.216265587,4462.907801,96.65643629,410,0,4177.496454,96.71685839,1153.829787,687.8970519,18.05954249
109,10.419783,9647,58.565432,3.773711488,92739.53295,10025.872,61.80160858,267,100,28.87142857,313.2291667,159.6643275,12956.71429,111.1828793,187.3571429,21.41697305,149929.7857,21920.70823,15694.41429,157.6642448,761.7285714,46.04932803,53090.85714,8075.281841,-12.04173913,1.535217391,0.369991304,4539.471429,89.59396048,410,0,4254.071429,89.33473511,1238,676.059169,64.57109513
110,23.312946,10442,79.070526,6.025289445,30117.92073,10429,50.94942701,176,10,16.35106383,377.6923077,159.944887,13116.18085,132.7715173,157.6914894,29.77862528,58953.7234,10552.07994,16499.18085,251.6396428,859.6595745,62.89734175,20908.14894,3762.589534,-12.35038053,1.735877372,0.156260049,5164.617021,210.87488,410,0,4879.074468,210.8659572,1217.446809,679.9310606,7.343701088
111,51.540823,14099,166.983003,6.405587965,77975.91017,14342,73.65304681,279,10,6.512690355,376.1940299,190.4483899,13008.64975,123.3134101,160.7563452,25.49492878,45549.30964,9699.606046,16211.08629,217.4598339,827.5126904,51.72924524,16180.19289,3406.527558,-12.52251796,1.759236375,0.136827736,4951.035533,166.2313041,410,0,4665.436548,166.33735,1145.532995,688.4960032,20.50445269
112,14.92094,5144,48.549157,7.1569666,18633.97492,4989,31.58377069,153,10,11.57142857,394.5679012,194.3272624,12999.26786,73.95039145,159.1964286,13.23876834,53890.83929,6381.428537,16216.01786,217.0068705,839.2678571,52.94319431,19157.625,2223.495724,-12.5,1.8,0.09,4946.732143,131.6633276,410,0,4661.017857,131.8429113,1223.214286,678.9095962,8.421607292
113,18.441458,8097,69.424367,7.202995351,29830.00038,7922,47.06403173,194,10,14.18292683,351.2727273,167.0988226,12965.5,80.41906248,155.3536585,14.66152419,55572.12195,7009.96956,16146.41463,213.9122199,822.6219512,46.47623055,19813.13415,2451.774423,-12.5,1.8,0.09,4904.04878,156.5986716,410,0,4618.097561,156.3898825,1234.634146,676.737502,10.11172713
114,2.142629,8009,22.719078,9.987700867,8972.755295,8095,99.73691043,254,10,4.708333333,328.6111111,43.53496537,12960.625,69.34203421,153.7083333,9.757386803,49833.16667,5946.526512,16181.66667,174.5271389,836.625,44.95999379,17829.20833,2105.434416,-12.5,1.8,0.09,4918.208333,114.1227333,410,0,4632.625,114.2270446,1387.5,627.2509466,3.690970589
115,22.502854,5228,49.028182,5.680647551,12519.68528,5088,28.31456622,110,10,12.81355932,421.4814815,197.6223554,12972.76271,81.04285098,153.440678,16.00664183,51798.62712,6523.542728,16216.08475,235.7512542,836.7457627,46.53432967,18369.94915,2299.457411,-12.5,1.8,0.09,4946.152542,170.8869994,410,0,4660.440678,171.0382325,1205.254237,681.9248826,8.009474424
116,8.184752,7436,21.097769,8.320386309,7112.920109,7535,79.1046729,264,10,7.48,347.5675676,67.91908562,12962.12,298.4468221,176.32,60.6839155,76014.44,88631.02313,16072.76,960.854548,845.48,121.4542284,34356.28,68067.08084,-13.06844641,1.8,0.112737856,4917.56,150.2062795,393.6,80.34326356,4671.68,164.198592,1000.8,703.9995455,11.91677809
117,11.41587,4735,19.840391,5.939586489,10427.89936,4446,42.33383159,146,10,13.13043478,343.7142857,147.1459084,12969.21739,68.67564376,148.173913,21.07265315,51766.6087,7819.475323,16219.47826,223.550183,819.2608696,47.70399436,18431.3913,2908.671215,-12.77968281,1.8,0.101187312,4987.782609,197.381986,410,0,4702.26087,197.3968013,950,673.4983296,9.492808939
118,9.415418,9789,33.4171,10.09087578,12204.43399,9795,162.2084681,681,10,2.425,330.1886792,80.8793783,13007.65,87.82925196,154.95,20.72914615,52053.95,7150.619746,16270.75,187.3009277,830.625,48.27198333,18559.5,2512.554736,-12.5583524,1.8,0.092334096,5012.1,153.492964,410,0,4726.35,153.6260964,1238,676.059169,2.973949394
119,6.346872,13150,29.861783,12.57165531,15037.66641,13104,193.6611166,664,10,1.411764706,350,0,12986.29412,73.73343459,156.6470588,12.87012581,51338.47059,7890.445959,16237.41176,193.6116668,848.9411765,47.56292499,18366.38235,2818.343684,-12.71002556,1.8,0.098401022,4945.911765,124.4934129,410,0,4659.705882,124.4275195,1059.411765,688.8051939,2.365408149
120,27.477736,16893,148.511034,2.696041665,334443.1279,23734,11.08131694,34,1,69.95402299,335.2892562,272.4106477,13023.43373,224.0466922,196.3674699,45.9985977,136835.4699,95367.39128,15787.00602,529.2777927,774.4698795,69.05093935,49807.45181,39101.96732,-14,1.8,0.15,4652.487952,139.9258297,405.060241,44.73142056,4371.849398,144.5151269,1136.626506,695.4140261,60.89569149
122,17.374866,4161,20.364975,4.924652589,36850.29158,9460.378,11.94455253,71,1,94.56521739,286.3636364,235.2538047,13123.81818,219.2529955,207.4090909,56.86799634,195625.7273,79509.05349,15719.77273,186.4829828,715,73.38441747,68765.09091,27043.11174,-14,1.8,0.15,4634.5,184.5669994,410,0,4348.863636,184.8938997,1037.272727,687.1428449,84.55655483
123,45.893158,15237,129.395045,4.322070101,96659.85654,16255.991,10.42288936,161,1,70.91836735,451.4018692,229.5320253,12859.61268,774.4335672,280.5704225,74.08269056,214446.4648,60414.91853,14850.48592,1852.896266,693.5774648,149.4178056,114878.1268,89129.20906,-14,1.8,0.15,4634.225352,148.6683327,314.7183099,173.1672385,4438.15493,156.8216577,926.971831,785.3123443,62.05390571
124,15.308061,4625,32.393392,4.218734767,537807.4164,7785.868,12.20815581,87,1,55.54054054,528.1818182,239.4622074,13035.61111,279.9909004,238.75,31.53602437,195371.1667,29236.71531,15370.05556,680.6391173,717.6111111,64.49559751,73962.86111,35000.8079,-14,1.8,0.15,4361.583333,131.6867864,398.6111111,67.37757531,4086.611111,156.0228398,1088.611111,704.5256591,33.24324324
127,24.380304,7077,38.68317,4.390680445,687232.8613,10725.521,12.12956298,57,1,50,401.6393443,346.16958,13086.97959,97.47307107,242.4285714,19.23113971,200264.6327,37631.74491,15418.79592,136.815529,710.9183673,34.79082493,71321.04082,13503.95659,-14,1.8,0.15,4319.285714,103.5443314,410,0,4033.673469,103.4093091,1226.734694,678.2612457,0
128,28.855226,7102,64.027865,2.28746493,170296.7227,8260.507,7.030830893,37,1,55.54054054,319.5327103,253.8539693,13135.52055,477.7786531,256.0410959,56.40131116,210509.3151,74422.73337,15519.9589,1109.036932,748.2328767,98.98547293,86325.53425,56970.50992,-14,1.8,0.15,4617.808219,160.3756427,381.9178082,103.5620062,4358.123288,170.4303936,1119.178082,725.2581088,33.24324324
130,29.978956,14786,191.960357,3.054040542,382318.536,19121.87,10.09092307,77,1,65.97402597,337.7884615,197.4823429,13048.60748,360.9530675,224.4672897,63.05646746,185213.9813,111235.6694,15651.67757,843.8165377,770.2523364,83.58096343,71908.05607,55697.03339,-13.78286489,1.8,0.141314596,4610.28972,146.2927234,394.6728972,77.77655218,4339.126168,153.6284752,1116.915888,709.4007096,54.9500302
131,13.084757,2546,13.298327,2.563535357,28265.30307,3852.193,7.890648567,24,1,50,213.3333333,162.871066,12711.33333,754.2740145,265.2666667,83.9662366,197751.0667,66719.04852,14743.13333,1961.831215,706.3333333,169.7950398,114794.4,97000.25101,-14,1.8,0.15,4632.666667,113.945406,300.6666667,181.3088219,4450,121.4007139,760.6666667,746.0962107,0
133,26.737249,9784,80.943744,13.98935568,26639.52042,9419.602,220.3184074,681,100,9.559139785,413.5338346,92.00519345,12921.29032,119.5221292,143.5053763,23.17749356,74214.15054,9069.507436,16103.63441,200.6139386,783.6129032,58.12168034,26408.65591,3231.009208,-12.16021333,1.61488,0.284977067,4924.784946,144.5309692,410,0,4639,144.515133,1107.419355,689.9601098,44.86022794
134,34.092976,17420,241.356008,10.44925789,115910.4373,17225.359,261.1767642,496,100,2.143859649,359.7461929,86.43789207,12830.06667,123.2541766,125.6070175,25.18966552,70019.62456,14375.54852,16148.98596,150.5495191,782.845614,51.90332468,24858.0386,5072.325794,-12.06502865,1.555668038,0.347881824,4969.080702,124.8406021,410,0,4683.480702,124.8481905,1136.315789,689.0436586,15.11350062
135,18.544264,12471,113.735953,3.527810541,171980.5126,12547.758,26.12123305,172,1,42.94852941,498.5185185,233.598321,12917.85294,270.550325,191.4264706,42.49543788,131859.1618,42449.38695,15555.625,410.9502964,731.1911765,57.34166367,47168.06618,20627.47578,-13.8786795,1.8,0.14514718,4474.419118,117.3636603,406.9852941,35.02771703,4191.919118,124.8037904,1147.720588,692.2565052,24.14670841
136,8.61211,6212,24.309212,2.716038418,39400.0941,6018.818,13.7961165,36,10,47.84615385,364.3589744,276.8763018,13016.73077,121.1463062,168.2307692,37.65359079,102723.8846,34655.02931,16092.65385,229.4667635,808.6538462,47.2667897,36132.5,12197.94105,-12.80971448,1.8,0.102388579,4860.153846,192.6624574,410,0,4574.769231,192.7037,1312.307692,656.5252804,4.712441044
137,92.37996,15965,620.664322,9.485322917,136382.7443,14096.086,211.2904162,430,100,8.629781421,391.5353938,116.0698877,12810.77702,100.2557377,124.6511628,16.54153858,70458.19152,10004.2586,16113.33653,158.508227,781.5430917,44.97172531,24928.4145,3549.666771,-11.8292544,1.508128271,0.392012324,4937.21751,131.2361851,410,0,4651.685363,131.0821196,1117.934337,689.7668878,42.44554002
138,12.347018,2535,11.785293,2.129091831,16960.38318,2635.877,9.717842324,20,1,227.4,242.2222222,172.9982516,13177.33333,57.19518239,203.4666667,22.41983249,142498.4,18385.04827,16016.86667,154.68112,802.5333333,38.46013809,50376.26667,6471.369525,-14,1.8,0.15,4779.466667,160.1552858,410,0,4493.933333,160.0618492,1238,676.059169,70.37025887
139,15.405332,9126,79.241177,3.492337423,64063.41144,9294.27,20.19757666,87,1,46.36842105,304.5454545,219.7152552,13095.6383,134.6234189,194.7553191,30.52856568,132159.2766,28898.32858,15919.3617,128.8422135,786.212766,40.96622177,46997.15957,10254.18028,-13.45420501,1.738529852,0.197424567,4721.893617,105.3465879,410,0,4436.138298,105.6634159,1290.851064,663.080592,52.38964394
140,13.504434,2557,24.848438,2.480174185,17325.07048,2649.274,11.50039557,27,1,88,189.5238095,200.6056589,13168.85714,59.47431275,211.7142857,20.94526394,159668.1429,20738.95155,15858.57143,171.5156029,774.1785714,40.96518868,56746.35714,7645.910304,-14,1.8,0.15,4673.142857,128.8966126,410,0,4387.178571,129.3798542,1050.714286,688.237545,85.51386256
141,8.879302,4613,19.217211,1.877254561,112568.1936,5387.38,7.307653061,21,1,67.08333333,278,192.048605,13157.95833,183.1159649,237.875,56.879487,249681.5417,139287.012,15747.83333,221.7488569,775.1666667,56.68014546,87805.5,49947.90129,-13.43528578,1.8,0.127411431,4537.416667,155.1990433,410,0,4252.541667,155.2685789,985,680.3491751,56.65900684
143,12.603128,5617,29.598433,8.461903864,6987.748909,5727,115.6023217,259,10,3.96875,439.2156863,152.5321327,13033.65625,144.3519158,158.90625,30.77576093,39941.4375,6026.981769,16264.625,144.142887,821.59375,59.88158073,14226.1875,2224.43006,-12.5,1.8,0.09,5015.59375,152.3074316,410,0,4729.875,152.6590871,970.625,677.762576,1.510057429
144,24.913368,10725,134.877857,14.9496866,39036.61424,10784,395.8652544,808,10,9.272151899,361.1926606,136.9103689,13079.78481,136.1174261,143.2531646,25.29119943,31733.76582,10524.85886,16677.07595,305.8164119,880.4936709,67.30995251,11298.94304,3670.482608,-12.5238732,1.8,0.090954928,5298.531646,204.7876848,410,0,5012.651899,204.7765354,1082.531646,689.7788461,44.42924239
145,16.884079,5396,75.225344,2.633830626,46409.56782,6732.531,10.89298314,58,1,52.22826087,336.0483871,195.1666721,12992.96667,305.7584904,210.4555556,49.43416747,176722.1667,79203.37884,15545.43333,775.9509299,742.3333333,73.73661837,68525.68889,47420.58943,-14,1.8,0.15,4527.688889,147.6420329,396.3333333,73.59725236,4254.633333,160.9644164,1101.666667,707.5030428,21.25625394
146,23.928251,6476,70.631305,2.572985665,24925.60314,7233.193,6.87048951,174,1,54.93975904,503.125,259.4879272,12711.83133,812.5383375,279.1084337,89.1620985,208735.3855,72676.72464,14628.9759,2003.116481,684.2048193,165.4002636,122292.5422,98632.24687,-14,1.8,0.15,4638.855422,128.9134512,291.4457831,185.8820233,4464.819277,127.3418835,823.4939759,782.2125458,31.43643401
153,9.184736,1883,13.835505,5.448092989,4919.224507,2649.274,9.116345468,83,1,62.05882353,533.3333333,298.142397,12338.0625,985.5363685,350.9375,59.09787301,267493.125,45247.11299,13463.0625,2229.76536,598.3125,190.6596178,188716.375,98434.12468,-14,1.8,0.15,4598.5,112.9031665,179.375,203.392132,4529.875,81.17332921,438.125,671.4463749,48.23529412
154,8.201831,12873,77.758131,3.262948664,69835.3105,14105.501,7.833776427,83,1,50,463.6507937,161.7886294,12932.8,456.6932644,221.2555556,63.75797312,177009.2778,45353.31196,15374.45556,1134.851152,732.5222222,95.59012359,75955.76667,58682.06663,-14,1.8,0.15,4539.2,89.76713083,378.1111111,109.806845,4283.433333,128.1027409,1037.444444,727.5080162,0
156,34.678827,10092,191.652811,14.20406075,68366.1606,13743.513,236.5405972,1270,10,4.586666667,322.2435897,106.9781533,13040.91111,188.1546435,180.92,29.49911938,117275.2,47878.4174,15943.01778,576.1491085,786.4533333,86.80342441,42082.69778,20308.53914,-12.90162692,1.8,0.106065077,4759.448889,351.3008945,408.1777778,27.27252495,4475.373333,351.3529447,1107.377778,692.3202627,29.1145294
158,30.942214,10177,88.532189,3.173649232,98817.78959,11876.642,12.97450394,45,1,5.857142857,226.369863,124.4928349,12963.92308,117.4916276,201.9230769,25.60637402,187766.9231,44698.65528,15465.93269,153.9642356,706.1538462,36.73574272,66133.29808,15228.96005,-13.92371652,1.8,0.146948661,4393.096154,117.1555934,410,0,4107.769231,117.1169887,1153.076923,687.9555511,26.55719025
159,6.397554,23420,82.110175,6.946537921,45086.02181,23897.604,165.9994036,869,10,1.195652174,403.6842105,70.23562582,13166.70652,169.9556552,217.2282609,28.16415516,183357.5652,60295.1692,15846.27174,430.1542469,783.326087,64.93895272,65398.69565,21864.63863,-12.92311688,1.8,0.106924675,4635.793478,330.8174834,410,0,4349.880435,330.9091837,1115,689.8369373,0.423215703
160,7.27033,16061,47.362423,4.469929641,40387.35538,16459.166,73.39576851,425,10,15.98113208,355.3164557,82.45958647,13074.49057,99.35786713,212.6792453,24.39438041,186371.0943,42532.77394,15622.24528,193.1840364,743.754717,46.80263888,66734.18868,15877.2399,-12.95018984,1.8,0.108007594,4483.924528,134.4138707,410,0,4198.207547,134.8243243,1060.943396,688.8937376,58.55057178
161,10.898606,6856,32.500036,3.533494796,21504.17981,7425.052,22.90788281,91,1,7.421052632,296.0784314,111.5853394,13096.78947,95.87194252,239.8947368,19.43516817,239624,32141.20277,15339.21053,156.0017135,695,45.25774141,85763.28947,12288.27582,-13.947502,1.8,0.14790008,4255.526316,95.24973735,410,0,3969.157895,95.28199872,1281.578947,665.6794167,16.27499144
162,41.072406,10550,177.0005,8.129130656,32400.05528,11068.526,150.6491471,1241,10,3.85645933,299.0559441,134.6719026,12898.50718,137.5517691,166.7320574,19.18419844,119756.9187,39624.49007,15734.67943,323.0419079,745.3684211,59.27240785,42629.86124,13994.66894,-12.5,1.8,0.09,4609.215311,235.2006912,410,0,4323.354067,235.3597653,1129.712919,689.3599513,24.88304642
163,12.850836,11986,85.221198,3.142207268,124949.3336,13066.077,31.19081069,174,1,19.06,386.0583942,109.1931769,13051.41,77.13249575,214.68,16.97991755,187755.09,27976.29772,15562.54,145.8329469,735.57,40.49549481,66714.86,9803.345322,-13.99475039,1.8,0.149790015,4432.03,98.71488793,410,0,4146.33,98.74837264,1113.8,689.8619862,32.39191875
164,22.671836,8929,116.467013,12.33404696,90534.5295,10405.354,184.3735366,964,1,1.985611511,403.4554974,101.8396073,13129.21583,109.6476871,199.5755396,35.96000545,137295.6691,61528.64353,15944.36691,511.5007422,791.028777,87.77283814,49101.72662,22096.85052,-13.35555151,1.8,0.12422206,4727.172662,367.9376497,410,0,4441.330935,367.9854429,1214.172662,680.4885034,5.956660756
165,13.846868,1907,14.70543,1.859397976,12154.82215,1902.62,8.578912021,21,1,218.7647059,322,278.5964824,13089.17647,83.64015029,165.7058824,32.85935216,115062.3529,14930.10922,16097.76471,181.8701959,765.4705882,65.74381442,40807.35294,5790.265197,-14,1.8,0.15,4935.352941,234.6270987,410,0,4650.235294,234.6106987,1221.764706,679.1710804,78.27743226
166,41.070053,9375,84.954848,13.92482698,36361.09936,8867.865,212.0359779,728,100,45.86,332.0740741,139.9105338,12905.53,152.1895828,128.43,30.2156433,67984.26,15193.57393,16280.3,206.1136822,790.33,75.76728252,24226.46,5404.960319,-12.24287334,1.586911265,0.319794909,5078.36,179.3437771,410,0,4792.53,179.1883621,1224.2,678.729961,94.93576987